Date,Min gal,Max gal.,Type,Receiving Water,Location
1.1.19,"12,818","12,818",CSO,East Creek,Rutland
1.24.19,"149,915","149,915",CSO,East Creek,Rutland
1.24.19,"2,686,426","2,686,426",CSO,Otter Creek,Rutland
1.24.19,0,100,CSO,East Creek,Rutland
1.24.19,0,100,CSO,East Creek,Rutland
1.24.19,0,100,Sewage,East Creek,Rutland
2.5.19,"12,959","12,959",CSO,East Creek,Rutland
2.5.19,"358,028","358,028",CSO,Otter Creek,Rutland
2.8.19,"1,220,564","1,220,564",CSO,Otter Creek,Rutland
4.9.19,"15,998","15,998",CSO,East Creek,Rutland
4.15.19,"175,986","175,986",CSO,East Creek,Rutland
4.15.19,"2,261,691","2,261,691",CSO,East Creek,Rutland
4.15.19,"4,042,572","4,042,572",CSO,East Creek,Rutland
4.15.19,"1,252,489","1,252,489",CSO,Otter Creek,Rutland
4.19.19,"37,110","37,110",CSO,East Creek,Rutland
4.20.19,"2,159","2,159",CSO,East Creek,Rutland
4.20.19,"67,113","67,113",CSO,Otter Creek,Rutland
4.20.19,316,316,CSO,East Creek,Rutland
4.20.19,"141,255","141,255",CSO,East Creek,Rutland
4.20.19,"139,971","139,971",CSO,East Creek,Rutland
4.20.19,"105,105","105,105",CSO,East Creek,Rutland
4.20.19,"4,175","4,175",CSO,East Creek,Rutland
4.20.19,"84,200","84,200",CSO,Otter Creek,Rutland
4.27.19,"44,950","44,950",CSO,East Creek,Rutland
4.27.19,"917,490","917,490",CSO,Otter Creek,Rutland
5.1.19,"2,843","2,843",CSO,East Creek,Rutland
5.3.19,"5,679","5,679",CSO,East Creek,Rutland
5.3.19,"360,829","360,829",CSO,Otter Creek,Rutland
5.3.19,476,476,CSO,East Creek,Rutland
5.3.19,"95,927","95,927",CSO,East Creek,Rutland
5.10.19,"33,981","33,981",CSO,East Creek,Rutland
5.10.19,"117,146","117,146",CSO,Otter Creek,Rutland
5.13.19,"9,137","9,137",CSO,East Creek,Rutland
5.19.19,"226,271","226,271",CSO,East Creek,Rutland
5.19.19,"276,842","276,842",CSO,East Creek,Rutland
5.19.19,"22,741","22,741",CSO,East Creek,Rutland
5.19.19,"1,527,000","1,527,000",CSO,Otter Creek,Rutland
5.20.19,"45,297","45,297",CSO,East Creek,Rutland
5.20.19,"369,132","369,132",CSO,Otter Creek,Rutland
5.20.19,"8,004","8,004",CSO,East Creek,Rutland
5.20.19,"37,204","37,204",CSO,East Creek,Rutland
5.23.19,"7,322","7,322",CSO,East Creek,Rutland
5.28.19,"19,972","19,972",CSO,East Creek,Rutland
6.11.19,"12,240","12,240",CSO,East Creek,Rutland
6.11.19,"119,215","119,215",CSO,East Creek,Rutland
6.11.19,"65,383","65,383",CSO,East Creek,Rutland
6.11.19,"53,972","53,972",CSO,Otter Creek,Rutland
6.20.19,"948,984","948,984",CSO,East Creek,Rutland
6.20.19,"745,451","745,451",CSO,Otter Creek,Rutland
6.20.19,"781,220","781,220",CSO,East Creek,Rutland
6.20.19,"63,500","63,500",CSO,East Creek,Rutland
7.6.19,"109,658","109,658",CSO,Otter Creek,Rutland
7.6.19,"121,853","121,853",CSO,East Creek,Rutland
7.6.19,"18,024","18,024",CSO,East Creek,Rutland
7.6.19,"122,721","122,721",CSO,East Creek,Rutland
7.25.19,"1,716","1,716",CSO,East Creek,Rutland
7.25.19,"7,531","7,531",CSO,East Creek,Rutland
7.30.19,"51,336","51,336",CSO,East Creek,Rutland
7.30.19,"6,797","6,797",CSO,East Creek,Rutland
8.7.19,"5,086","5,086",CSO,East Creek,Rutland
8.7.19,619,619,CSO,East Creek,Rutland
1.26.19,1000000,1000000,Partially,Nashobe,Brandon
6.20.19,1000000,1000000,Partially,Nashobe,Brandon
5.19.19,15100,15100,CSO,Pine St. Barge Canal,Burlington
6.20.19,177396,177396,CSO,Pine St. Barge Canal,Burlington
7.11.19,79122,79122,CSO,Pine St. Barge Canal,Burlington
7.28.19,1000,10000,CSO,Intervale Wetlands,Burlington
8.6.19,100,1000,CSO,Intervale Wetlands,Burlington
2.7.19,100000,500000,Partially,Winooski,Essex Junction
4.2.19,1000,10000,sewage,Indian Brook,Essex Junction
4.15.19,10000,100000,CSO,Castleton,Fair Haven
4.11.19,10000,100000,Partially,Lamoille River,Hardwick
4.20.19,1000,10000,CSO,Otter Creek,Middlebury
6.20.19,10000,100000,CSO,Otter Creek,Middlebury
6.20.19,10000,100000,CSO,Otter Creek,Middlebury
7.31.19,1000,10000,CSO,Otter Creek,Middlebury
7.31.19,1000,10000,CSO,Otter Creek,Middlebury
8.8.19,1000,10000,CSO,Otter Creek,Middlebury
3.15.19,100,1000,CSO,Winooski,Montpelier
3.31.19,100,1000,CSO,Winooski,Montpelier
4.2.19,100,100,Sewage,Winooski,Montpelier
4.8.19,100,100,CSO,Winooski,Montpelier
4.8.19,100,1000,CSO,Winooski,Montpelier
4.9.19,100,100,Partially,Dog River,Montpelier
4.15.19,100,100,Sewage,Winooski,Montpelier
4.15.19,10000,100000,CSO,Winooski,Montpelier
4.15.19,1000,10000,CSO,North Branch,Montpelier
4.16.19,10000,100000,CSO,Winooski,Montpelier
4.15.19,1000,10000,CSO,North Branch,Montpelier
4.19.19,100,100,CSO,Winooski,Montpelier
4.20.19,1000,10000,CSO,Winooski,Montpelier
4.20.19,1000,10000,CSO,Winooski,Montpelier
4.26.19,1000,10000,CSO,Winooski,Montpelier
4.26.19,1000,10000,CSO,Winooski,Montpelier
4.28.19,100,1000,CSO,Winooski,Montpelier
5.13.19,100,1000,CSO,Winooski,Montpelier
5.19.19,100,1000,CSO,Winooski,Montpelier
5.19.19,10000,100000,CSO,Winooski,Montpelier
5.19.19,10000,100000,CSO,Winooski,Montpelier
6.5.19,1000,10000,CSO,Winooski,Montpelier
6.5.19,1000,10000,CSO,Winooski,Montpelier
6.5.19,100,1000,CSO,North Branch,Montpelier
6.20.19,100,1000,CSO,Winooski,Montpelier
6.20.19,100,1000,CSO,Winooski,Montpelier
6.20.19,100,1000,CSO,Winooski,Montpelier
6.20.19,100,1000,CSO,North Branch,Montpelier
6.25.19,100,1000,CSO,Winooski,Montpelier
8.6.19,100,1000,CSO,Winooski,Montpelier
8.6.19,100,1000,CSO,North Branch,Montpelier
8.6.19,100,1000,CSO,North Branch,Montpelier
8.6.19,100,1000,CSO,Winooski,Montpelier
8.6.19,100,1000,CSO,North Branch,Montpelier
8.8.19,100,1000,CSO,Winooski,Montpelier
8.8.19,100,1000,CSO,Winooski,Montpelier
8.6.19,1000,10000,CSO,Dog Rive,Northfield
1.24.19,1000,10000,Sewage,Otter Creek,Proctor
4.15.19,1000,10000,Sewage,Otter Creek,Proctor
4.20.19,1000,10000,Sewage,Otter Creek,Proctor
2.15.19,10000,100000,Partially,Otter Creek,Pittsford
